Exercise,Weight,Reps,Total
Pull-ups,160,125,20000
Bench,45,15,675
Bench,75,10,750
Bench,95,5,475
Bench,125,50,6250
Bench,145,3,435
Bench,165,3,495
Rolling Grip Thing DL,65,20,1300
Rolling Grip Thing DL,75,20,1500
One-hand DB Fat Grip DL,80,6,480
One-hand DB Fat Grip DL,90,6,540
One-hand DB Fat Grip DL,100,4,400
Barbell DL,95,45,4275
Barbell Row,95,10,950
Barbell DL,115,20,2300
Barbell Row,115,20,2300
Ring Dips,160,30,4800
Floor Press,45,20,900
Floor Press,95,10,950
Floor Press,115,20,2300
,,,
Grand Total,,,52075
,,,
,,,
,,,
Route,Distance,Climb,Calories
Ridge Run-Hike Sat,4.7,850,615
Mountain Bike Sat,14.9,1496,746
Mountain Bike Sun,22.4,3415,1463
,,,
,42,5761,2824